City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Delhi,2018-06-05,61.72,152.57,9.58,27.67,32.62,43.21,0.82,7.51,48.46,2.52,4.69,0.0,160.0,Moderate
Delhi,2015-01-22,143.68,183.89,14.75,21.82,34.88,39.65,10.58,8.64,6.94,4.15,9.54,2.78,332.0,Very Poor
Visakhapatnam,2017-12-29,52.25,103.4,9.07,52.56,35.2,11.33,1.08,6.26,52.57,3.59,6.08,1.71,160.0,Moderate
Delhi,2015-09-16,91.18,190.99,8.55,46.44,42.94,49.72,1.15,9.27,69.61,2.78,9.65,2.61,235.0,Poor
Hyderabad,2019-01-13,72.03,120.93,3.27,37.2,22.02,19.45,0.62,4.84,40.0,1.79,7.86,0.74,154.0,Moderate
Hyderabad,2020-04-04,37.34,72.16,3.78,21.26,13.49,10.48,0.5,8.46,26.57,2.06,9.39,0.52,67.0,Satisfactory
Amritsar,2018-02-22,43.14,122.51,14.65,10.2,36.43,11.57,0.61,4.93,16.89,9.66,7.48,5.83,124.0,Moderate
Visakhapatnam,2016-12-10,57.84,116.72,4.68,36.03,22.09,12.89,1.19,35.72,91.9,5.69,7.33,3.83,120.0,Moderate
Amaravati,2019-10-09,27.63,44.01,3.3,11.48,8.92,17.92,0.89,18.89,31.23,0.15,1.48,0.26,78.0,Satisfactory
Hyderabad,2018-02-13,46.38,85.63,2.89,31.98,16.16,54.44,0.61,6.53,44.34,0.98,4.74,1.1,94.0,Satisfactory
Delhi,2015-11-02,232.4,361.0,67.14,68.4,115.98,42.75,2.05,31.66,136.67,8.28,20.6,23.3,420.0,Severe
Visakhapatnam,2020-05-14,11.88,45.86,2.73,11.76,8.43,12.04,0.11,7.66,14.72,1.8,7.74,0.63,50.0,Good
Hyderabad,2015-10-18,59.6,107.16,1.22,0.95,1.58,7.44,0.61,5.61,33.85,1.31,7.3,1.04,210.0,Poor
